Number of Elements (n)	 Time (sec) 
10	5e-06
100	3e-06
500	4e-06
1000	6e-06
5000	2.4e-05
10000	3.8e-05
50000	0.000162
100000	0.000258
200000	0.000421
500000	0.000913
